,baseline,coref,gpt,coref_gpt,percent_increase_coref,percent_increase_gpt,percent_increase_coref_gpt
narrator,17863.0,19775.0,19107.0,21083.0,10.703689189945697,6.964115770027431,18.02608744331859
reader,5149.0,5392.0,5527.0,5778.0,4.719362983103515,7.341231307049913,12.215964264905807
SO_male,435.0,1309.0,450.0,1374.0,200.9195402298851,3.4482758620689653,215.86206896551724
SO_female,108.0,638.0,111.0,678.0,490.74074074074076,2.7777777777777777,527.7777777777777
SO_neutral,163.0,490.0,174.0,522.0,200.61349693251535,6.748466257668712,220.24539877300614
SO_any,706.0,2437.0,735.0,2574.0,245.1841359773371,4.107648725212465,264.58923512747873
ex_SO,1429.0,1801.0,1507.0,1918.0,26.03219034289713,5.458362491252624,34.21973407977607
friend,1022.0,3202.0,1069.0,3394.0,213.307240704501,4.598825831702544,232.0939334637965
family,2353.0,5301.0,2502.0,5657.0,125.2868678283043,6.332341691457713,140.41648958776028
nurse,104.0,134.0,124.0,157.0,28.846153846153843,19.230769230769234,50.96153846153846
doctor,866.0,1169.0,898.0,1229.0,34.98845265588915,3.695150115473441,41.916859122401846
therapist,441.0,678.0,453.0,700.0,53.74149659863946,2.7210884353741496,58.730158730158735
medical_prof,1499.0,2126.0,1568.0,2237.0,41.827885256837895,4.603068712474983,49.23282188125417
ED,2000.0,2298.0,2094.0,2426.0,14.899999999999999,4.7,21.3
food,5370.0,5925.0,5645.0,6264.0,10.335195530726256,5.121042830540038,16.64804469273743
TOTAL,39508.0,52675.0,41964.0,55991.0,33.32742735648476,6.216462488609902,41.72066416928217
